epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,1699.14,2.18269,1.18035,0.94926,0.62848,0.48552,0.52384,0.19432,2.89713,3.06211,0.92114,0.00039605,0.00039605,0.00039605
23,1779.36,2.17524,1.17217,0.94816,0.66374,0.50796,0.54482,0.20497,2.81925,3.10465,0.90576,0.0003911,0.0003911,0.0003911
24,1851.43,2.16599,1.16816,0.94676,0.65578,0.49264,0.54189,0.19523,2.91549,2.96702,0.92032,0.00038615,0.00038615,0.00038615
25,1926.21,2.16633,1.16366,0.94282,0.64482,0.51364,0.54867,0.20026,2.80651,3.03532,0.91148,0.0003812,0.0003812,0.0003812
26,2002.36,2.15,1.15413,0.94408,0.65149,0.50379,0.54292,0.20144,2.83534,2.91994,0.90925,0.00037625,0.00037625,0.00037625
27,2079.21,2.13837,1.14443,0.94481,0.65115,0.51119,0.54424,0.20041,2.79656,2.99528,0.90892,0.0003713,0.0003713,0.0003713
28,2151.52,2.14463,1.14484,0.93845,0.65116,0.49804,0.53875,0.19876,2.79124,3.12471,0.90794,0.00036635,0.00036635,0.00036635
29,2230.89,2.13293,1.13238,0.94058,0.64199,0.4951,0.5289,0.19311,2.82467,3.17823,0.91402,0.0003614,0.0003614,0.0003614
30,2307.85,2.12121,1.12725,0.9401,0.65626,0.50095,0.54264,0.19917,2.85558,3.2164,0.9147,0.00035645,0.00035645,0.00035645
31,2384.69,2.12182,1.12798,0.93888,0.64201,0.50014,0.53756,0.19947,2.79902,3.35076,0.91589,0.0003515,0.0003515,0.0003515
32,2459.63,2.11941,1.12152,0.93619,0.63737,0.49442,0.53238,0.19851,2.76597,3.37927,0.91277,0.00034655,0.00034655,0.00034655
33,2540.12,2.11073,1.11705,0.93582,0.64714,0.49766,0.53937,0.19836,2.80105,3.31489,0.91568,0.0003416,0.0003416,0.0003416
34,2613.9,2.10977,1.11332,0.93572,0.65097,0.5021,0.53848,0.19958,2.79074,3.33099,0.90406,0.00033665,0.00033665,0.00033665
35,2693.02,2.09983,1.10904,0.93544,0.64944,0.49625,0.53891,0.1993,2.82002,3.37555,0.91299,0.0003317,0.0003317,0.0003317
36,2767.64,2.09975,1.10656,0.93237,0.64441,0.49539,0.53423,0.19889,2.82844,3.14888,0.90959,0.00032675,0.00032675,0.00032675
37,2844.53,2.10243,1.10599,0.93035,0.63849,0.49659,0.53404,0.19836,2.84579,3.24045,0.91062,0.0003218,0.0003218,0.0003218
38,2917.06,2.0871,1.09806,0.93174,0.64388,0.49356,0.52999,0.1981,2.82433,3.32752,0.9111,0.00031685,0.00031685,0.00031685
39,2996.85,2.07679,1.08964,0.93136,0.64759,0.50014,0.5367,0.19853,2.87339,3.36471,0.91546,0.0003119,0.0003119,0.0003119
40,3070.86,2.08266,1.09215,0.92948,0.64209,0.50104,0.53487,0.19994,2.8259,3.30738,0.91254,0.00030695,0.00030695,0.00030695
41,3146.09,2.07776,1.08783,0.9267,0.6322,0.50491,0.53485,0.19967,2.80707,3.2801,0.90881,0.000302,0.000302,0.000302
