epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0608,2.78585,1.91543,1.11139,0.53176,0.44948,0.44608,0.15265,3.02492,2.89464,0.95687,9.98908e-05,9.98908e-05,0.0801217
2,175.437,2.60693,1.63659,1.04878,0.4982,0.40589,0.41916,0.15661,3.07154,3.10327,0.93125,0.000197912,0.000197912,0.0602197
3,253.432,2.53386,1.55332,1.03205,0.56899,0.45394,0.48097,0.18053,2.86937,2.6421,0.90433,0.000293953,0.000293953,0.0403158
4,331.088,2.49514,1.49803,1.01952,0.63404,0.46645,0.50888,0.19083,2.82195,2.92033,0.91039,0.000388014,0.000388014,0.0204098
5,414.037,2.44764,1.44778,1.0076,0.63865,0.45231,0.50454,0.17918,2.94076,2.92058,0.91544,0.000480095,0.000480095,0.000501929
6,486.668,2.42083,1.41641,0.99987,0.64734,0.48705,0.52751,0.19268,2.85491,3.32643,0.91261,0.00047525,0.00047525,0.00047525
7,563.206,2.38943,1.38029,0.99358,0.65371,0.50404,0.54882,0.20622,2.7603,2.78897,0.90367,0.0004703,0.0004703,0.0004703
8,640.02,2.35821,1.35271,0.98727,0.65851,0.49879,0.5499,0.20569,2.89563,2.67195,0.90532,0.00046535,0.00046535,0.00046535
9,712.532,2.33957,1.32908,0.9827,0.63064,0.46558,0.50969,0.19293,3.03488,3.4856,0.93043,0.0004604,0.0004604,0.0004604
10,790.985,2.32076,1.31077,0.9808,0.63273,0.48705,0.51847,0.1968,2.87855,3.13402,0.91443,0.00045545,0.00045545,0.00045545
11,867.763,2.30217,1.29556,0.97455,0.62925,0.49034,0.52672,0.195,3.04373,2.87764,0.91942,0.0004505,0.0004505,0.0004505
12,944.902,2.28938,1.28111,0.97128,0.63371,0.50406,0.54486,0.20518,2.9534,2.93517,0.91759,0.00044555,0.00044555,0.00044555
13,1021.21,2.28086,1.26752,0.96986,0.65119,0.49051,0.53962,0.20422,2.81566,2.71302,0.91406,0.0004406,0.0004406,0.0004406
14,1094.85,2.26552,1.25413,0.96672,0.66956,0.51309,0.55484,0.20459,2.84409,2.96663,0.91056,0.00043565,0.00043565,0.00043565
15,1171.62,2.245,1.23858,0.96396,0.64451,0.49371,0.53663,0.19998,2.78754,2.69164,0.90044,0.0004307,0.0004307,0.0004307
16,1245.24,2.23589,1.23129,0.96221,0.65556,0.49315,0.54113,0.20417,2.83045,3.06075,0.90548,0.00042575,0.00042575,0.00042575
17,1325.02,2.21903,1.21715,0.95901,0.64534,0.50048,0.54714,0.20766,2.82116,3.06281,0.90867,0.0004208,0.0004208,0.0004208
18,1396.32,2.21965,1.2125,0.95575,0.65001,0.48945,0.53784,0.19851,2.92284,3.02737,0.91937,0.00041585,0.00041585,0.00041585
19,1473.75,2.20881,1.20224,0.95493,0.65657,0.49789,0.54512,0.20312,2.94706,2.8157,0.91023,0.0004109,0.0004109,0.0004109
20,1547.7,2.20398,1.20035,0.9556,0.64736,0.50521,0.54351,0.19813,2.83767,2.98963,0.91012,0.00040595,0.00040595,0.00040595
21,1625.01,2.19332,1.19037,0.95254,0.66212,0.50042,0.55314,0.20659,2.88712,3.00703,0.91004,0.000401,0.000401,0.000401
