epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2553.5,2.13325,1.13382,0.94011,0.61834,0.45936,0.48934,0.17473,2.87171,2.71862,0.91867,0.0005941,0.0005941,0.0005941
43,2615.12,2.1249,1.12603,0.9403,0.61675,0.462,0.4883,0.17318,2.81732,2.75852,0.91879,0.0005842,0.0005842,0.0005842
44,2676.64,2.12828,1.12964,0.93597,0.62584,0.45968,0.48991,0.17463,2.84757,2.78848,0.91971,0.0005743,0.0005743,0.0005743
45,2738.11,2.12039,1.12575,0.93883,0.62693,0.45991,0.49048,0.17335,2.84883,2.77766,0.92183,0.0005644,0.0005644,0.0005644
46,2797.94,2.12131,1.1271,0.93816,0.62552,0.46071,0.4912,0.17391,2.838,2.72691,0.91959,0.0005545,0.0005545,0.0005545
47,2856.88,2.10915,1.11809,0.93621,0.61619,0.46459,0.49024,0.17329,2.82101,2.6972,0.91923,0.0005446,0.0005446,0.0005446
48,2918.49,2.10755,1.1186,0.93733,0.61393,0.46138,0.48836,0.17305,2.81721,2.68347,0.9182,0.0005347,0.0005347,0.0005347
49,2979.63,2.10899,1.11664,0.9339,0.61466,0.45829,0.48699,0.1721,2.92186,2.76051,0.92122,0.0005248,0.0005248,0.0005248
50,3037.96,2.10847,1.11196,0.93252,0.6147,0.45295,0.48342,0.17148,3.01141,2.78431,0.92344,0.0005149,0.0005149,0.0005149
51,3099.57,2.10317,1.11462,0.93416,0.62134,0.45154,0.48512,0.17197,3.02961,2.79424,0.92597,0.000505,0.000505,0.000505
52,3158.97,2.10467,1.11109,0.93297,0.61484,0.45425,0.48423,0.17129,2.9798,2.80213,0.92414,0.0004951,0.0004951,0.0004951
53,3221.63,2.10122,1.11046,0.93125,0.61533,0.45417,0.48313,0.17081,2.95785,2.7615,0.92421,0.0004852,0.0004852,0.0004852
54,3280.99,2.09736,1.1054,0.93197,0.62001,0.45358,0.48376,0.17089,2.93296,2.7705,0.92359,0.0004753,0.0004753,0.0004753
55,3341.7,2.07863,1.09541,0.93097,0.61991,0.45073,0.48236,0.17029,2.92751,2.79256,0.92322,0.0004654,0.0004654,0.0004654
56,3402.04,2.08397,1.09775,0.9306,0.62194,0.44989,0.48283,0.17031,2.92872,2.82035,0.92318,0.0004555,0.0004555,0.0004555
57,3460.29,2.08613,1.09939,0.9273,0.62163,0.44865,0.48214,0.17057,2.92711,2.81017,0.92252,0.0004456,0.0004456,0.0004456
58,3519.06,2.07626,1.09265,0.92851,0.6226,0.45089,0.48283,0.17118,2.92865,2.79449,0.9222,0.0004357,0.0004357,0.0004357
59,3576.92,2.06992,1.08909,0.93113,0.62236,0.45145,0.4831,0.17118,2.92658,2.78666,0.92216,0.0004258,0.0004258,0.0004258
60,3636.74,2.07929,1.09422,0.92765,0.62267,0.45265,0.48394,0.17119,2.93758,2.77898,0.92238,0.0004159,0.0004159,0.0004159
61,3697.74,2.07462,1.09097,0.9282,0.62227,0.45192,0.48289,0.17062,2.94061,2.77935,0.92217,0.000406,0.000406,0.000406
62,3756.76,2.07011,1.08691,0.92625,0.62014,0.45362,0.48346,0.17065,2.9371,2.79437,0.9224,0.0003961,0.0003961,0.0003961
63,3817.71,2.05391,1.08022,0.9283,0.61927,0.45461,0.48298,0.17036,2.9339,2.80606,0.9223,0.0003862,0.0003862,0.0003862
64,3879.07,2.05369,1.07948,0.92746,0.61814,0.45421,0.48236,0.16994,2.94385,2.81837,0.92269,0.0003763,0.0003763,0.0003763
65,3939.7,2.05467,1.07679,0.92592,0.62016,0.45148,0.48126,0.16977,2.94633,2.81735,0.92298,0.0003664,0.0003664,0.0003664
66,3999.16,2.05928,1.08202,0.92638,0.61851,0.4515,0.48056,0.16955,2.95741,2.81973,0.92379,0.0003565,0.0003565,0.0003565
67,4060.4,2.06193,1.07633,0.92484,0.61647,0.45188,0.47976,0.1692,2.96121,2.82573,0.92404,0.0003466,0.0003466,0.0003466
68,4120.8,2.04461,1.06752,0.92388,0.6165,0.45112,0.47922,0.16886,2.97395,2.8259,0.92477,0.0003367,0.0003367,0.0003367
69,4180.58,2.04702,1.07293,0.9255,0.61799,0.44956,0.47894,0.16873,2.98757,2.83025,0.92547,0.0003268,0.0003268,0.0003268
70,4239.37,2.05259,1.07247,0.92325,0.61752,0.45069,0.47883,0.16842,2.99528,2.82801,0.92582,0.0003169,0.0003169,0.0003169
71,4299.27,2.0469,1.07285,0.92445,0.61611,0.45015,0.47857,0.16823,3.00133,2.82683,0.92587,0.000307,0.000307,0.000307
72,4361.15,2.03162,1.06198,0.92235,0.61587,0.44938,0.47795,0.16803,3.00487,2.82195,0.92614,0.0002971,0.0002971,0.0002971
73,4419,2.05247,1.07187,0.91953,0.61733,0.44746,0.47708,0.16779,3.0095,2.82322,0.92652,0.0002872,0.0002872,0.0002872
74,4479.77,2.03174,1.0598,0.92161,0.61509,0.44786,0.47605,0.16735,3.01008,2.82982,0.92693,0.0002773,0.0002773,0.0002773
